,date,isLianban,isLianbanST,isZTShiti,isZhangting,isZTT,isZhangtingOne,isEatDTBan,preZTcurDT,isEatZTBread,isLianbanBZ,isDTT,isDietingOne,isDieting,isZhaban,isEatTDBan,isFitBaopo,SysChooseNo1,SameSysChooseNo1,ZJNo1,ZJlt30No1,ALLHSNo1,index_num_ten,TBang
0,20200218,50,41,117,133,9,16,0,1,3,39,0,0,2,38,0,5,11-秀强股份-300160.SZ-实体-江苏-44.0,,2-晶方科技-603005.SH-实体-江苏-16.0,0,3-晶瑞股份-300655.SZ-实体-江苏-30.0,18,安居宝&300155.SZ&0.07***天邑股份&300504.SZ&-0.03***
0,20200219,28,22,74,90,6,16,0,1,1,50,0,1,15,55,0,9,6-北玻股份-002613.SZ-非实体-河南-16.0,,2-奥特佳-002239.SZ-实体-江苏-17.0,2-奥特佳-002239.SZ-实体-江苏-17.0,4-北特科技-603009.SH-实体-上海-16.0,6,银邦股份&300337.SZ&0.06***
0,20200220,28,19,106,118,2,12,1,0,0,28,0,1,1,39,0,1,5-海陆重工-002255.SZ-非实体-江苏-0.0,5-乾照光电-300102.SZ,3-奥特佳-002239.SZ-实体-江苏-27.0,1-兆易创新-603986.SH-实体-北京-10.0,5-乾照光电-300102.SZ-实体-福建-17.0,21,0
0,20200221,32,26,92,105,10,13,0,0,5,28,0,0,1,46,0,3,6-海陆重工-002255.SZ-非实体-江苏-0.0,6-乾照光电-300102.SZ,4-奥特佳-002239.SZ-实体-江苏-36.0,1-四维图新-002405.SZ-实体-北京-3.0,5-国农科技-000004.SZ-实体-深圳-23.0,17,湘电股份&600416.SH&0.1***天晟新材&300169.SZ&0.07***
0,20200224,44,38,141,161,7,20,0,0,1,32,0,1,3,59,0,2,7-海陆重工-002255.SZ-实体-江苏-8.0,,5-奥特佳-002239.SZ-实体-江苏-43.0,1-沪电股份-002463.SZ-实体-江苏-9.0,5-奥特佳-002239.SZ-实体-江苏-43.0,23,0
0,20200225,58,52,129,139,8,10,0,0,0,44,0,0,1,45,0,0,8-海陆重工-002255.SZ-实体-江苏-17.0,,6-奥特佳-002239.SZ-实体-江苏-54.0,1-常山北明-000158.SZ-实体-河北-13.0,6-奥特佳-002239.SZ-实体-江苏-54.0,23,上海洗霸&603200.SH&0.08***
0,20200226,35,30,71,88,8,17,0,12,2,58,0,1,98,58,1,1,6-常铝股份-002160.SZ-实体-江苏-37.0,6-铜峰电子-600237.SH&&6-和胜股份-002824.SZ&&6-湘电股份-600416.SH,3-泰达股份-000652.SZ-实体-天津-5.0,2-大立科技-002214.SZ-实体-浙江-12.0,4-京威股份-002662.SZ-实体-北京-35.0,6,铜峰电子&600237.SH&-0.1***湘电股份&600416.SH&-0.05***道恩股份&002838.SZ&0.01***
0,20200227,23,17,79,93,3,14,1,10,2,35,0,0,24,41,0,2,7-和胜股份-002824.SZ-非实体-广东-16.0,7-铜峰电子-600237.SH,1-用友网络-600588.SH-实体-北京-11.0,1-卫宁健康-300253.SZ-实体-上海-10.0,3-申华控股-600653.SH-实体-上海-15.0,8,0
0,20200228,14,10,41,47,2,6,0,16,0,23,0,3,256,10,0,1,3-宏润建设-002062.SZ-实体-浙江-24.0,3-汉钟精机-002158.SZ&&3-克劳斯-600579.SH&&3-斯莱克-300382.SZ,1-泰达股份-000652.SZ-实体-天津-4.0,1-欣龙控股-000955.SZ-实体-海南-7.0,3-克劳斯-600579.SH-实体-山东-9.0,8,0
0,20200302,20,15,192,205,3,13,1,0,1,14,0,0,0,97,0,3,4-宏润建设-002062.SZ-非实体-浙江-24.0,4-克劳斯-600579.SH&&4-斯莱克-300382.SZ&&4-汉钟精机-002158.SZ,2-泰达股份-000652.SZ-实体-天津-7.0,1-中国长城-000066.SZ-实体-深圳-9.0,4-克劳斯-600579.SH-实体-山东-9.0,17,0
0,20200303,48,40,83,104,14,21,0,0,3,20,0,0,0,101,0,10,5-宏润建设-002062.SZ-非实体-浙江-24.0,5-克劳斯-600579.SH&&5-汉钟精机-002158.SZ,3-搜于特-002503.SZ-实体-广东-14.0,1-利欧股份-002131.SZ-实体-浙江-7.0,5-克劳斯-600579.SH-实体-山东-24.0,8,0
0,20200304,32,23,80,94,1,14,0,1,3,48,0,0,2,22,0,0,6-宏润建设-002062.SZ-非实体-浙江-24.0,6-克劳斯-600579.SH,3-星期六-002291.SZ-实体-广东-20.0,1-红塔证券-601236.SH-实体-云南-11.0,6-克劳斯-600579.SH-实体-山东-31.0,10,福日电子&600203.SH&0.1***
0,20200305,41,32,133,149,10,16,0,0,2,32,0,0,0,38,0,4,7-宏润建设-002062.SZ-非实体-浙江-24.0,7-克劳斯-600579.SH,2-南京证券-601990.SH-实体-江苏-16.0,1-正邦科技-002157.SZ-实体-江西-9.0,7-克劳斯-600579.SH-实体-山东-34.0,16,英杰电气&300820.SZ&0.04***
0,20200306,34,27,89,102,3,13,0,1,2,41,0,0,1,40,1,0,8-宏润建设-002062.SZ-实体-浙江-28.0,,3-新力金融-600318.SH-实体-安徽-28.0,8-宏润建设-002062.SZ-实体-浙江-28.0,3-新力金融-600318.SH-实体-安徽-28.0,8,搜于特&002503.SZ&0.0***音飞储存&603066.SH&0.03***
0,20200309,39,32,74,85,9,11,0,4,2,34,0,1,75,45,0,1,8-保变电气-600550.SH-实体-河北-42.0,,4-道恩股份-002838.SZ-实体-山东-18.0,1-鲁抗医药-600789.SH-实体-山东-9.0,4-道恩股份-002838.SZ-实体-山东-18.0,12,新野纺织&002087.SZ&-0.1***创业黑马&300688.SZ&0.01***
0,20200310,21,17,120,127,4,7,4,7,1,39,0,2,22,47,0,3,9-保变电气-600550.SH-实体-河北-49.0,,1-华天科技-002185.SZ-实体-甘肃-9.0,8-国恩股份-002768.SZ-实体-山东-10.0,5-远大智能-002689.SZ-实体-辽宁-18.0,24,海源复材&002529.SZ&0.02***
0,20200311,39,32,61,78,4,17,0,2,4,21,0,1,10,70,0,4,10-保变电气-600550.SH-实体-河北-52.0,,4-吉林化纤-000420.SZ-实体-吉林-35.0,9-国恩股份-002768.SZ-实体-山东-29.0,6-远大智能-002689.SZ-实体-辽宁-29.0,8,0
0,20200312,26,21,52,58,6,6,0,8,1,39,0,0,17,23,0,2,10-海特生物-300683.SZ-实体-湖北-0.0,,2-沙钢股份-002075.SZ-实体-江苏-19.0,1-中通国脉-603559.SH-实体-吉林-13.0,4-奥特迅-002227.SZ-实体-深圳-30.0,6,海特生物&300683.SZ&-0.05***獐子岛&002069.SZ&-0.1***
0,20200313,16,14,63,70,1,7,0,4,3,26,0,1,24,25,0,0,5-顺威股份-002676.SZ-实体-广东-10.0,5-华脉科技-603042.SH,2-华微电子-600360.SH-实体-吉林-25.0,2-华微电子-600360.SH-实体-吉林-25.0,4-中能电气-300062.SZ-实体-福建-26.0,9,0
